item_col,year,item_idx,alpha_mean,alpha_sd,alpha_pct05,alpha_pct50,alpha_pct95,beta_mean,beta_sd,beta_pct05,beta_pct50,beta_pct95
Com_con_A_1991,1991,14,2.827457897069995,0.38525257955491726,2.285952345,2.7757516,3.5387579149999997,0.8480366409506321,0.7000581030185647,-0.221205168,0.8051867699999999,2.083381365
DIV_con_A_1991,1991,15,2.7209322722499945,0.32058822552550087,2.25229204,2.6915105,3.2992101649999994,1.0365550054423405,0.574862851778822,0.1460816895,1.0062335500000001,2.0450586449999992
DIV_con_X_1991,1991,16,3.5105347649999983,0.45546007003482747,2.819978635,3.4852102499999997,4.300326494999999,2.719586716664982,0.6827484466603245,1.648027465,2.68976475,3.8800666199999996
DIV_str_A_1991,1991,17,2.039819862819997,0.14803191110641248,1.8049021,2.0360274,2.2874566649999997,-0.9089525558193485,0.44394228573045974,-1.652275345,-0.900507135,-0.19561740550000004
DIV_str_B_1991,1991,18,1.6999809149099958,0.14216904813004985,1.474998505,1.6950121500000002,1.94318771,1.282977483383997,0.27849327572167437,0.8384499455,1.27143545,1.7531403499999996
DIV_str_C_1991,1991,19,2.1443164674800035,0.17275099512638914,1.8753572850000002,2.1375479,2.44300296,-0.5151035938138536,0.44465787549293917,-1.23172668,-0.525402155,0.22497583999999965
DIV_str_D_1991,1991,20,2.3440209594600008,0.22131520264909738,2.003025705,2.3335148,2.722449589999999,1.898280725684998,0.39352824510431916,1.280820465,1.8878727,2.5601145599999997
DIV_str_E_1991,1991,21,3.2919055317700048,0.41451378139860795,2.6678447000000003,3.2614560499999996,4.022409119999999,2.451622926715002,0.6442842523681921,1.43737853,2.4217387,3.5577509149999997
DIV_str_F_1991,1991,22,2.611545795750014,0.29444049738372013,2.1770611399999997,2.58722375,3.1393796299999996,0.922710533342354,0.5380083197263879,0.0775829147,0.89538184,1.8461994549999994
DIV_str_X_1991,1991,23,2.995644553780002,0.414796811819397,2.401405165,2.9476162500000003,3.7320882199999996,0.9990588877485467,0.7263504945654997,-0.12240109699999999,0.94642286,2.2567013149999995
EMP_con_A_1991,1991,24,1.9735750572899982,0.15743348471233468,1.7237976849999999,1.96853225,2.240967585,0.9160216663197988,0.29985046138510185,0.4322165605,0.90929242,1.4295266400000002
EMP_con_B_1991,1991,25,3.7169997698300032,0.4472549752349063,3.0234352149999997,3.69081115,4.4801390549999995,3.5412349265699783,0.6615587913560623,2.501351655,3.5141204,4.67856753
EMP_con_C_1991,1991,26,2.17324212999,0.18823031663242606,1.8855114450000001,2.16136555,2.505367025,-0.029123411057131104,0.4271791444248119,-0.7086014755,-0.042390831000000004,0.7042635264999993
EMP_con_X_1991,1991,27,2.891879248729999,0.3472443945506543,2.371397215,2.8618993,3.516484125,1.602314933325855,0.5820672061737284,0.6998165545,1.56248145,2.605187425
EMP_str_A_1991,1991,28,2.55612759361999,0.2766454741063037,2.1444351400000006,2.5334453,3.04401283,0.8062509975062284,0.5213304202554491,-0.007721841704999973,0.78397777,1.7014045299999998
EMP_str_B_1991,1991,29,2.0326343063300065,0.1564350980433877,1.783954745,2.0242221000000002,2.30628969,-0.24265824648361145,0.35958850179690655,-0.8253672625,-0.24966785,0.35736505649999994
EMP_str_C_1991,1991,30,1.3016721570989975,0.10043755166638678,1.140378845,1.29973405,1.4721337849999998,0.057557285610111024,0.22758650513190815,-0.31608309349999997,0.053672604,0.4342679874999999
EMP_str_D_1991,1991,31,1.4299218715899984,0.10172730326046028,1.2645958300000002,1.4287044500000001,1.5994769,-0.6994092467393219,0.26648438181035655,-1.1349560300000001,-0.7007174899999999,-0.25459157200000004
EMP_str_F_1991,1991,32,2.6323778545300076,0.27508901787127404,2.210599135,2.61706895,3.1053413549999997,1.651846142371704,0.4739843433355986,0.9001065885,1.6358322,2.443067969999999
